timestamp,io_errors,frames_tx,frames_rx,interface
314930220,8285,8109,0,1
315032202,8285,8109,0,1
315134324,8285,8111,0,1
315236201,8288,8111,0,1
315338218,8288,8123,0,1
315440218,8299,8123,0,1
315542208,8299,8123,0,1
315644305,8299,8123,0,1
315746203,8299,8125,0,1
315848219,8301,8125,0,1
315950229,8301,8125,0,1
316052202,8301,8125,0,1
316154311,8301,8125,0,1
316256201,8302,8127,0,1
316358221,8304,8139,0,1
316460217,8315,8139,0,1
316562203,8315,8139,0,1
316664503,8315,8139,0,1
316766201,8315,8141,0,1
316868217,8317,8141,0,1
316970219,8317,8141,0,1
317072214,8317,8141,0,1
317174344,8317,8143,0,1
317276201,8320,8153,0,1
317378218,8330,8155,0,1
317480224,8331,8155,0,1
317582202,8331,8155,0,1
317684317,8331,8157,0,1
317786211,8333,8157,0,1
317888218,8333,8157,0,1
317990217,8333,8157,0,1
318092203,8333,8157,0,1
318194314,8333,8159,0,1
318296202,8336,8171,0,1
318398218,8347,8171,0,1
318500219,8347,8171,0,1
318602202,8347,8171,0,1
318704531,8347,8173,0,1
318806202,8349,8173,0,1
318908222,8349,8173,0,1
319010218,8349,8173,0,1
319112202,8349,8173,0,1
319214503,8349,8175,0,1
319316203,8354,8187,0,1
319418219,8365,8187,0,1
319520220,8365,8187,0,1
319622207,8365,8187,0,1
319724362,8365,8189,0,1
319826202,8367,8189,0,1
319928218,8367,8189,0,1
320030223,8367,8189,0,1
320132203,8367,8189,0,1
320234505,8368,8191,0,1
320336202,8370,8203,0,1
320438218,8381,8203,0,1
320540217,8381,8203,0,1
320642204,8381,8203,0,1
320744325,8381,8205,0,1
320846202,8383,8205,0,1
320948218,8383,8205,0,1
321050217,8383,8205,0,1
321152208,8383,8205,0,1
321254306,8384,8207,0,1
321356221,8386,8219,0,1
321458218,8397,8219,0,1
321560218,8397,8219,0,1
321662202,8397,8219,0,1
321764477,8397,8221,0,1
321866201,8399,8221,0,1
321968217,8399,8221,0,1
322070220,8399,8221,0,1
322172206,8399,8221,0,1
322274653,8400,8233,0,1
322376201,8412,8235,0,1
322478218,8413,8235,0,1
322580219,8413,8235,0,1
322682207,8413,8235,0,1
322784524,8413,8237,0,1
322886201,8415,8237,0,1
322988218,8415,8237,0,1
323090218,8415,8237,0,1
323192211,8415,8237,0,1
323294346,8416,8251,0,1
