timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
438038347,1200.0,0.29984155,711.8819,0.0,7446,0,16.8317,436,0,0,0,112,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439048318,1200.0,0.29984155,462.99957,0.0,7460,0,16.999985,437,0,0,0,112,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439298307,1200.0,0.29984155,462.99957,0.0,7465,0,16.999985,437,0,0,0,112,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440548250,1200.0,0.29984155,553.4659,0.0,7486,0,16.8317,439,0,0,0,112,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441798384,1200.0,0.29984155,575.22015,0.0,7505,0,16.830883,440,0,0,0,114,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443058359,1200.0,0.29984155,437.645,0.0,7521,0,16.8325,441,0,0,0,114,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444068322,1200.0,0.29984155,508.9109,0.0,7540,0,16.831684,442,0,0,0,114,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444318376,1200.0,0.29984155,508.9109,0.0,7544,0,16.831684,442,0,0,0,114,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445568328,1200.0,0.29984155,604.99945,0.0,7563,0,16.999985,444,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446828292,1200.0,0.29984155,413.9996,0.0,7579,0,16.999985,445,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447838238,1200.0,0.29984155,770.29706,0.0,7599,0,16.831684,446,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448078244,1200.0,0.29984155,770.29706,0.0,7602,0,16.831684,446,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449338237,1200.0,0.29984155,368.97678,0.0,7619,0,16.99893,448,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450588238,1200.0,0.29984155,534.68677,0.0,7641,0,16.832733,449,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451838286,1200.0,0.29984155,601.9802,0.0,7661,0,16.831684,450,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452848241,1200.0,0.29984155,503.95993,0.0,7675,0,16.831667,451,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453098286,1200.0,0.29984155,503.95993,0.0,7678,0,16.831667,451,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454358305,1200.0,0.29984155,609.9866,0.0,7701,0,16.999624,453,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455608238,1200.0,0.29984155,503.92892,0.0,7717,0,16.830633,454,0,0,0,118,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456868326,1200.0,0.29984155,531.68317,0.0,7735,0,16.831684,455,0,0,0,120,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457878238,1200.0,0.29984155,648.51544,0.0,7753,0,16.8317,456,0,0,0,120,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458118298,1200.0,0.29984155,648.51544,0.0,7756,0,16.8317,456,0,0,0,120,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459378238,1200.0,0.29984155,557.9872,0.0,7775,0,16.999609,457,0,0,0,120,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460628353,1200.0,0.29984155,459.4164,0.0,7796,0,16.832067,459,0,0,0,120,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461878244,1200.0,0.29984155,572.97363,0.0,7815,0,16.999218,460,0,0,0,122,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462878287,1200.0,0.29984155,534.67786,0.0,7829,0,16.83245,461,0,0,0,122,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463138305,1200.0,0.29984155,534.67786,0.0,7832,0,16.83245,461,0,0,0,122,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464388281,1200.0,0.29984155,612.8719,0.0,7855,0,16.8317,463,0,0,0,122,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465648240,1200.0,0.29984155,495.0495,0.0,7873,0,16.831684,464,0,0,0,124,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466898302,1200.0,0.29984155,522.7842,0.0,7890,0,16.832067,465,0,0,0,124,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467908398,1200.0,0.29984155,693.0371,0.0,7909,0,16.8309,466,0,0,0,124,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468158286,1200.0,0.29984155,693.0371,0.0,7912,0,16.8309,466,0,0,0,124,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469408306,1200.0,0.29984155,414.8704,0.0,7930,0,16.83245,468,0,0,0,126,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470658238,1200.0,0.29984155,503.9604,0.0,7951,0,16.831684,469,0,0,0,126,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471908291,1200.0,0.29984155,588.1194,0.0,7970,0,16.8317,470,0,0,0,126,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472918281,1200.0,0.29984155,522.9995,0.0,7985,0,16.999985,471,0,0,0,126,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473168306,1200.0,0.29984155,522.9995,0.0,7987,0,16.999985,471,0,0,0,126,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474428308,1200.0,0.29984155,590.07214,0.0,8012,0,16.830917,473,0,0,0,128,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
