timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
392874327,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
393884211,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
394894329,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
395904182,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
396914188,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
397924182,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
398934334,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
399944209,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
400954192,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
401964183,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
402974332,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
403984355,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
404994329,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
406004226,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
407014324,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
408024336,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
409034211,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
410044332,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
411054203,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
412064239,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
413074352,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
414084197,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
415094221,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
416104180,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
417114330,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
418124445,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
419134179,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
420144334,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
421154220,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
